PlayerID,PlayerName,Role,Joined,Left,PlayerLevel
120835,delusional,Leader,2025-12-12 20:58:54,,1
100021,[DLU] Sky,Vice,2025-10-15 21:50:04,,1510
36260,[DLU] GREY,Vice,2025-10-28 22:01:46,,601
88460,[DLU] Kratos in isekai,Vice,2025-10-28 22:05:14,,1199
100769,NOOR121,Vice,2025-12-11 22:40:29,,795
120663,[DELULU],Vice,2025-12-11 23:20:04,,9
75736,Khukir,Member,2025-10-09 12:58:04,,601
79059,[DLU] Ryustorm,Member,2025-10-09 14:03:31,,641
77533,[DLU]M0lusca12,Member,2025-10-10 01:15:33,,1131
76887,Hagriss,Member,2025-10-10 11:21:12,,374
38610,[DLU] ReaderOfTheWorld,Member,2025-10-10 12:47:51,,686
77680,[DLU]Kirito,Member,2025-10-10 12:48:49,,744
69508,[DLU] TheFinalAlchemist,Member,2025-10-10 12:51:28,,652
79435,[DLU] Tiga92,Member,2025-10-10 12:54:26,,1305
45752,[DLU]Stillslim,Member,2025-10-10 12:58:44,,956
80404,shidox,Member,2025-10-10 17:11:43,,1486
100048,[DELULU]Weedons,Member,2025-10-10 17:13:43,,375
105073,[DELULU]BATTLE ankle,Member,2025-10-10 21:02:44,,22
52465,Sozaff,Member,2025-10-11 01:10:15,,384
80572,[DLU]atem,Member,2025-10-11 01:10:21,,900
100406,Void Monarch,Member,2025-10-11 09:05:21,,689
76638,[DLU] Othello,Member,2025-10-11 10:39:11,,1036
100340,[DLU] Sensei12,Member,2025-10-13 17:11:13,,692
81130,[DLU] Icaka42,Member,2025-10-13 17:20:40,,1749
79259,Login80,Member,2025-10-15 20:54:48,,1526
78354,Dragon king,Member,2025-10-15 21:55:21,,811
59841,{DLU}nOOb_WeeB,Member,2025-10-15 22:33:34,,1076
21480,[DLU] Sypher,Member,2025-10-15 22:42:44,,1020
11655,DudePizza,Member,2025-10-16 07:17:57,,495
52293,[DLU] Kaizen Gill,Member,2025-10-16 08:55:41,,730
90465,[DLU] K-Azad,Member,2025-10-16 13:48:23,,1494
102460,Greed[DLU],Member,2025-10-16 13:48:35,,963
71342,[DLU] azaman,Member,2025-10-16 17:01:41,,676
66253,,Member,2025-10-16 18:47:03,,454
9746,[DLU] Nakeoku,Member,2025-10-16 23:52:27,,640
43275,[DLU] Bhan_bhai,Member,2025-10-22 00:14:44,,1379
96328,[DLU] Mayavi [SOLULU],Member,2025-10-28 20:20:51,,510
88720,[Daddy DELULU The Delusional Senpai]Tahmid_The Conqueror of Grakthar,Member,2025-10-28 21:35:53,,789
82134,[DLU] SWORD GOD,Member,2025-10-28 22:22:28,,1244
76694,[DLU]Stellar Prime,Member,2025-10-28 22:31:54,,1145
80978,[DLU] doriri,Member,2025-10-30 00:11:43,,254
52862,[DLU] Akshadow,Member,2025-10-30 00:49:19,,511
69623,Darklight07,Member,2025-10-30 00:49:45,,151
28963,stormyx,Member,2025-10-30 00:52:19,,145
107735,[DLU] deal only 1m to magus the game,Member,2025-10-30 17:15:11,,1612
5597,[DELULU] _XlymN_,Member,2025-10-30 18:17:19,,1046
100955,[DLU] Marcellio,Member,2025-10-30 20:17:53,,481
99180,(DLU)Blain3,Member,2025-10-31 10:16:06,,501
77837,[DLU] Hariseto,Member,2025-11-02 09:44:54,,920
75733,[Delulu] Samar1117,Member,2025-11-07 12:23:41,,547
99169,[DLU] ThatOneEnjoyer,Member,2025-11-08 01:45:20,,297
68996,AkeSora,Member,2025-11-13 11:41:03,,299
100443,NOOR3,Member,2025-11-24 17:02:15,,595
