PlayerID,Rank,Damage
76843,#1,"1,994,477,886,317"
82910,#2,"1,371,832,466,241"
77096,#3,"636,284,035,315"
61039,#4,"587,229,802,789"
90594,#5,"529,262,995,479"
65211,#6,"476,709,057,528"
77275,#7,"427,045,969,734"
88771,#8,"416,417,751,137"
60626,#9,"393,801,648,226"
105956,#10,"379,709,470,422"
96999,#11,"364,009,479,113"
79236,#12,"362,481,217,766"
77621,#13,"357,727,578,878"
104215,#14,"357,512,900,144"
87513,#15,"339,616,876,425"
86218,#16,"325,074,947,643"
81910,#17,"310,593,792,192"
114170,#18,"303,751,005,205"
31896,#19,"291,871,868,705"
33695,#20,"272,002,381,096"
48087,#21,"254,994,058,355"
34240,#22,"253,057,981,084"
88617,#23,"237,814,910,939"
77978,#24,"225,662,027,479"
29623,#25,"223,206,717,303"
79776,#26,"221,965,171,591"
89824,#27,"219,816,879,564"
73297,#28,"219,182,500,846"
56859,#29,"214,996,494,694"
80404,#30,"208,379,372,219"
73444,#31,"207,714,066,309"
80877,#32,"203,455,367,574"
89483,#33,"200,450,974,591"
113115,#34,"200,185,326,457"
89796,#35,"197,231,112,952"
96560,#36,"194,431,840,384"
82708,#37,"192,663,006,258"
102814,#38,"192,405,815,555"
87928,#39,"185,253,392,150"
72311,#40,"181,090,067,663"
105501,#41,"180,319,986,476"
88820,#42,"179,148,987,358"
91508,#43,"176,301,468,061"
77514,#44,"172,735,976,437"
93295,#45,"169,168,536,311"
98547,#46,"167,732,635,371"
100038,#47,"159,960,920,623"
82715,#48,"157,894,707,805"
99405,#49,"155,829,381,977"
77925,#50,"153,414,448,985"
13260,#51,"150,677,155,663"
68622,#52,"150,126,537,587"
38602,#53,"149,993,394,535"
79986,#54,"146,501,620,128"
30315,#55,"144,622,857,078"
78590,#56,"143,675,172,822"
91106,#57,"142,285,796,968"
87870,#58,"141,915,271,394"
49044,#59,"140,635,085,296"
81324,#60,"138,775,941,648"
29966,#61,"138,366,159,381"
87676,#62,"137,951,568,103"
43659,#63,"135,027,775,743"
99445,#64,"134,050,315,809"
81347,#65,"132,439,099,862"
81130,#66,"130,786,044,366"
98886,#67,"127,826,496,226"
76916,#68,"125,848,265,083"
42961,#69,"125,785,766,372"
98811,#70,"123,779,108,412"
42968,#71,"123,463,055,817"
77638,#72,"121,721,600,843"
16162,#73,"121,151,506,665"
76031,#74,"120,275,671,846"
107735,#75,"120,205,618,926"
31657,#76,"119,977,423,194"
97825,#77,"117,891,982,396"
41459,#78,"117,585,569,350"
13656,#79,"116,331,394,758"
64142,#80,"115,994,856,120"
79595,#81,"115,488,069,304"
77868,#82,"115,011,232,270"
57326,#83,"114,508,296,306"
114019,#84,"112,870,491,607"
89219,#85,"112,532,699,151"
82833,#86,"112,135,736,938"
49367,#87,"110,122,501,482"
38159,#88,"108,436,895,594"
79507,#89,"108,111,579,122"
92485,#90,"106,821,111,077"
34922,#91,"105,380,504,107"
100882,#92,"105,066,890,477"
99803,#93,"104,960,382,691"
39184,#94,"104,890,697,873"
87645,#95,"102,100,885,690"
41154,#96,"101,980,590,642"
81254,#97,"101,252,584,873"
10808,#98,"100,844,206,234"
93125,#99,"100,145,638,383"
78486,#100,"99,151,805,162"
82276,#101,"98,913,049,000"
100350,#102,"98,241,594,511"
100438,#103,"97,120,285,357"
63585,#104,"96,453,802,136"
112185,#105,"96,393,190,326"
79391,#106,"96,253,777,123"
95841,#107,"95,616,601,317"
100524,#108,"95,524,209,560"
77393,#109,"94,990,815,861"
69563,#110,"94,912,010,588"
30649,#111,"94,023,233,546"
78143,#112,"93,695,416,186"
83160,#113,"93,229,747,061"
91030,#114,"93,172,672,996"
51807,#115,"93,144,097,813"
61061,#116,"92,814,481,989"
88307,#117,"91,609,525,130"
98525,#118,"91,268,413,408"
71900,#119,"89,731,847,381"
75009,#120,"87,663,510,027"
